,mfcc
0,"[-696.20105     78.316574     3.6467407   13.573399     7.353319
   14.752226    -4.387536     3.7565272   -5.2533145   -2.0983982
  -10.85577      0.9280961    1.3114606]"
1,"[-686.313        78.73232       0.70421964   14.1939335     9.702352
   14.567476     -5.940362      5.089293     -6.562455     -4.7236705
  -10.431581      1.0629306     1.2107528 ]"
2,"[-6.9026385e+02  8.0471260e+01  3.0662949e+00  1.3347497e+01
  6.9880719e+00  1.1344915e+01 -4.7850394e+00  5.1056075e+00
 -8.0277910e+00 -3.1091697e+00 -1.1353867e+01 -4.8793986e-01
 -2.6596862e-01]"
3,"[-6.8870215e+02  7.8576103e+01  5.8589802e+00  1.5703995e+01
  7.5210805e+00  1.3692708e+01 -3.4702733e+00  6.8795729e+00
 -7.7725215e+00 -3.0211976e+00 -1.0263145e+01  1.8489085e-01
  6.1347950e-01]"
4,"[-7.2778333e+02  8.7151093e+01  5.9815011e+00  1.6521162e+01
  7.6518073e+00  1.5974822e+01 -4.8925428e+00  5.5316582e+00
 -8.1758823e+00 -3.0124196e-01 -1.1974799e+01 -5.2974987e-01
  6.9274008e-01]"
5,"[-704.3038       93.277084      9.311788     12.922705      7.454835
   17.394232     -4.3425817     3.875228     -8.11092      -0.96813065
   -9.430532     -1.3967024     2.5814936 ]"
6,"[-7.0068219e+02  9.3627098e+01  4.3824625e+00  1.6850615e+01
  5.9947085e+00  1.5607196e+01 -4.8000503e+00  9.1498833e+00
 -8.6894245e+00  4.9616304e-01 -1.0708986e+01 -2.2030392e-01
  1.8206882e+00]"
7,"[-6.9921808e+02  9.4646011e+01  6.5281291e+00  1.4211494e+01
  7.4935126e+00  1.6071417e+01 -5.1564841e+00  8.5808535e+00
 -9.0860424e+00 -6.8753356e-01 -9.7485600e+00 -7.9068267e-01
  7.7642083e-01]"
8,"[-7.2578015e+02  1.0290807e+02  9.3481340e+00  1.8737953e+01
  6.7137690e+00  2.0421324e+01 -6.2948108e+00  7.4343553e+00
 -9.8549509e+00  3.8974662e+00 -1.0792986e+01  1.0832573e+00
  6.4441109e-01]"
9,"[-6.6877069e+02  1.0760702e+02  4.8282032e+00  1.6557535e+01
  5.4198503e+00  1.9485579e+01 -8.5644073e+00  7.5901637e+00
 -1.3298409e+01  7.2513580e-01 -1.1534319e+01 -5.6487894e-01
  3.1861224e+00]"
10,"[-6.4730060e+02  1.1205686e+02  7.3729329e+00  2.2273033e+01
 -5.5065340e-01  2.1908350e+01 -7.3324327e+00  1.1708243e+01
 -1.8011515e+01  5.3095908e+00 -1.7470490e+01  2.5278320e+00
  5.2563522e-02]"
11,"[-6.52111023e+02  1.08949242e+02 -8.45975518e-01  1.88021030e+01
  6.86086130e+00  1.99624043e+01 -6.79815865e+00  9.63537121e+00
 -1.57866182e+01 -4.00017232e-01 -1.40474615e+01  2.03224206e+00
  3.23667550e+00]"
12,"[-6.4630005e+02  8.8916351e+01 -1.0377312e-01  1.1318373e+01
  6.4291086e+00  1.1435020e+01 -9.2429857e+00  2.4710331e+00
 -1.0028090e+01 -3.8718395e+00 -1.1940019e+01  9.7256899e-01
 -7.6503277e-01]"
13,"[-6.2652032e+02  8.8002594e+01 -1.3808007e+00  1.1152814e+01
  1.0611649e+01  1.2378749e+01 -6.3917880e+00  4.3632090e-01
 -7.5263681e+00 -4.3306994e+00 -1.2847078e+01  2.0559766e+00
  9.4902039e-01]"
14,"[-659.80914     89.133835     1.9390529   13.739754     6.3894897
    9.709831    -6.448499     4.101294   -11.382652    -3.6398902
  -15.925905     2.3372636    1.728333 ]"
